age,PTA_50_2,PTA_50_1,PTA_10_2,PTA_10_1
18,0,0,5.75,5.75
19,0,0,6.25,6.5
20,0,0,6.75,7.25
21,0,0,7,7.5
22,0,0,7.5,8
23,0,0,7.5,8
24,0,0,7.75,8.25
25,0,0,7.75,8.25
26,0,0,7.75,8.25
27,0,0.25,7.75,8.25
28,0,0.25,7.75,8.25
29,0,0.25,7.75,8.25
30,0.25,0.5,7.75,8.25
31,0.25,0.5,8,8.25
32,0.25,1,8,8
33,0.5,1,8,8
34,0.75,1.25,8.25,8.25
35,1,1.25,8.25,8.5
36,1.25,1.75,8.5,8.75
37,1.25,1.75,8.5,9
38,1.25,2,8.5,9.25
39,1.5,2,8.75,9.5
40,1.75,2.5,9,10.25
41,1.75,2.75,9.25,10.5
42,2,3,9.5,11
43,2.5,3.5,10,12
44,2.75,3.75,10.5,12.25
45,3,4,11.25,13
46,3.25,4.5,11.25,13.75
47,3.75,4.75,11.75,14.75
48,4,5.25,12.75,15.5
49,4.5,5.75,13,16.5
50,4.75,6,14,17.5
51,5,6.5,14.75,18.25
52,5.75,7,15.25,19.25
53,6,7.5,16.25,20.25
54,6.5,8,17,21.25
55,7.25,8.5,17.75,22.5
56,7.75,9.25,18.5,23.25
57,8.25,9.75,19.75,24.5
58,8.75,10.25,20.5,25.75
59,9.25,11,21.25,26.75
60,10,11.5,22.5,27.75
61,10.5,12,23.25,28.75
62,11.25,13.25,24.5,29.75
63,12.25,13.75,25.5,30.75
64,13,14.75,26.25,31.5
65,14,15,27.5,32.5
66,14.25,16,28.5,33.5
67,15.25,17,29.5,34.75
68,16,17.5,30.75,35.25
69,17.25,18.75,32,36.25
70,18,19.25,33,37
71,18.75,20.5,34.25,37.75
72,20,21.25,35,38.25
73,21,22.25,36.25,39.25
74,22.25,23.25,37.75,40
75,23.5,24.25,39,41
76,24.5,25.5,40.25,41
77,25.25,26.25,41.25,42
78,26.75,27.25,42.75,42.75
79,28,28.75,44.25,43.5
80,29.5,29.75,45.5,44
81,30.5,31,47.25,45
82,31.75,32,49,46
83,33.25,33.25,50.25,46.75
84,34.75,34.5,52,47.75
85,36,35.75,54,49
86,37.75,37,56,50.25
87,39,38.25,58,51.5
88,40.75,39.75,60.5,53
89,42.25,41,62.75,55
90,44,42.75,65.25,56.5
91,45.75,43.75,67.75,59
92,47.5,45.25,71,61.25
93,49.25,46.75,73.5,64
94,51,48.25,77,67.25
95,53,50,80.75,70.5
96,55,51.5,84.25,74.5
97,56.5,53.25,88.5,78.75
98,58.5,54.75,93,83.5
99,60.5,56.25,97.5,88.75
100,63,58.25,102.75,94.75
