"Measure","Combined","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years"
"Age (years)","64.0 [59.5, 72.0], n=55","45.0 [41.5, 48.2], n=4","56.5 [56.0, 57.0], n=10","64.0 [62.0, 65.0], n=24","73.0 [72.0, 76.5], n=14","84.0 [82.0, 86.5], n=3"
"PTA4_BE (dB HL)","6.2 [5.0, 10.5], n=55","3.1 [0.7, 5.0], n=4","5.5 [3.8, 6.2], n=10","8.8 [5.9, 11.1], n=24","8.9 [6.1, 14.1], n=14","15.0 [12.5, 15.0], n=3"
"ACALOS L15 (dB SPL)","54.6 [50.9, 57.3], n=55","46.6 [44.2, 50.6], n=4","54.0 [50.6, 55.0], n=10","54.4 [50.7, 57.0], n=24","55.6 [53.7, 58.2], n=14","62.8 [59.8, 64.3], n=3"
"ACALOS L35 (dB SPL)","92.0 [89.5, 94.0], n=55","88.5 [82.8, 94.4], n=4","91.7 [89.6, 93.8], n=10","91.0 [89.2, 94.0], n=24","92.4 [90.1, 94.3], n=14","93.2 [92.3, 93.4], n=3"
"ACALOS DR (dB)","36.7 [34.0, 40.3], n=55","39.3 [37.9, 41.9], n=4","38.0 [35.7, 39.4], n=10","36.3 [33.4, 41.2], n=24","35.9 [34.4, 38.7], n=14","30.3 [29.1, 32.5], n=3"
"ACALOS BLS (dB)","7.5 [3.5, 10.9], n=54","8.4 [6.2, 9.7], n=4","5.8 [2.4, 8.5], n=10","8.7 [3.4, 13.5], n=23","7.8 [4.2, 10.0], n=14","8.4 [7.8, 9.1], n=3"
"TIN ERB_500Hz (dB SNR)","0.2 [-1.1, 0.7], n=52","-0.3 [-1.6, 0.6], n=4","-0.9 [-1.3, 0.4], n=10","0.1 [-1.5, 0.7], n=22","0.4 [0.2, 0.8], n=13","1.0 [-0.7, 1.8], n=3"
"TIN ERB_2000Hz (dB SNR)","-2.5 [-3.9, -1.1], n=52","-3.5 [-3.9, -2.4], n=4","-3.7 [-4.1, -2.9], n=10","-1.8 [-4.1, -1.0], n=22","-1.4 [-2.5, -0.5], n=13","-1.8 [-3.0, -1.6], n=3"
"Matrix SRT_UOL SSN (dB SNR)","-5.4 [-5.8, -5.0], n=39","-6.3 [-6.9, -5.8], n=3","-5.7 [-6.0, -5.6], n=9","-5.4 [-5.8, -4.9], n=15","-5.3 [-5.4, -5.0], n=9","-3.4 [-3.8, -3.3], n=3"
"Matrix SRT_IDA SSN (dB SNR)","-3.9 [-5.4, -2.1], n=16","-5.5 [-5.5, -5.5], n=1","-4.4 [-4.4, -4.4], n=1","-4.5 [-5.5, -3.2], n=9","-2.2 [-2.3, -1.6], n=5","NA [NA, NA], n=0"
