"Measure","combined","β0_age (disp)","β1_age (disp)","ρ_age (disp)","p_age (disp)","β0_PTA (disp)","β1_PTA (disp)","ρ_PTA (disp)","p_PTA (disp)","β0_age","β1_age","ρ_age","p_age","β0_PTA4_BE","β1_PTA4_BE","ρ_PTA4_BE","p_PTA4_BE"
"ACALOS L15 (dB SPL)","54.6 [50.9, 57.3], n=55","32.49","0.33","0.43","**<0.01**","52.36","0.17","0.12","0.399",32.49397465689344,0.3287088803224603,0.42588840803378564,0.0011877481829107492,52.36220623286103,0.17062972348571642,0.115927189318888,0.399318620840849
"ACALOS L35 (dB SPL)","92.0 [89.5, 94.0], n=55","83.58","0.11","0.16","0.254","91.93","-0.11","-0.14","0.294",83.57701763156228,0.11461087987225393,0.15661699889869476,0.2535005977808925,91.93227292254328,-0.10714654798913525,-0.14394943616858638,0.294403733053986
"ACALOS DR (dB)","36.7 [34.0, 40.3], n=55","51.08","-0.21","-0.35","**<0.01**","39.57","-0.28","-0.25","0.064",51.08304297466884,-0.21409800045020644,-0.34840268946116115,0.009141779251362508,39.57006668968225,-0.27777627147485223,-0.2512269461320858,0.0642919457355032
"ACALOS BLS (dB)","7.5 [3.5, 10.9], n=54","7.65","2.71×10⁻³","0.05","0.708","9.47","-0.19","-0.08","0.543",7.654317478246052,0.0027055834544378143,0.05220780140165743,0.7077152179603045,9.472663919983418,-0.19075747672925658,-0.08455650817878152,0.543245809646373
"TIN ERB_500Hz (dB SNR)","0.2 [-1.1, 0.7], n=52","-3.74","0.05","0.28","**<0.05**","-0.74","0.06","0.16","0.260",-3.737031046926647,0.0535972387054428,0.2815260128913089,0.043190863780603016,-0.7389834914544244,0.05679729235872113,0.15894132170325515,0.26039718055061445
"TIN ERB_2000Hz (dB SNR)","-2.5 [-3.9, -1.1], n=52","-6.31","0.06","0.33","**<0.05**","-2.96","0.04","0.16","0.265",-6.306574846409544,0.05735948345932663,0.33490075064798747,0.015231324199444219,-2.9597178803796416,0.04429170546208629,0.1573165488690426,0.2653643239327687
"Matrix SRT_UOL SSN (dB SNR)","-5.4 [-5.8, -5.0], n=39","-9.20","0.06","0.65","**<0.001**","-6.09","0.11","0.57","**<0.001**",-9.196314968191096,0.06048093466170529,0.653547407851543,6.4545636533196094e-6,-6.093645786390268,0.10970707525912576,0.5698999315565073,1.5240680173427844e-4
"Matrix SRT_IDA SSN (dB SNR)","-3.9 [-5.4, -2.1], n=16","-10.64","0.11","0.39","0.132","-5.28","0.16","0.39","0.139",-10.635101963746225,0.10929003021148037,0.39349112426035504,0.13158132140214088,-5.275821167883211,0.15507299270072988,0.3869116162670684,0.13874345733147406
"Matrix SRT_UOL ICRA5-250 (dB SNR)","-14.3 [-16.5, -13.4], n=39","-26.89","0.19","0.49","**<0.01**","-17.85","0.47","0.66","**<0.001**",-26.88805065418318,0.19356819909574688,0.49396572301897923,0.001393881066784444,-17.852045966651644,0.47083190626408306,0.6558142427631475,5.844994081336854e-6
"Matrix SRT_IDA ICRA5-250 (dB SNR)","-11.0 [-12.8, -8.3], n=16","-22.52","0.19","0.42","0.102","-14.34","0.36","0.60","**<0.05**",-22.518504531722055,0.18874622356495468,0.42392956143926375,0.10175138956329136,-14.341058394160585,0.3636496350364963,0.5973418943735488,0.014550869078335384
